question,answer,fake1,fake2,fake3
"¿Sobre qué ideales da una biyección el teorema de la correspondencia?","Sobre los que contienen a I y los de A/I","Sobre todos los ideales de A","Sobre los ideales primos de A","Sobre los ideales maximales de A"
"En el Teorema del Factor, ¿cuándo existe el homomorfismo inverso?","Cuando I está en Núc(f)","Cuando I es un ideal primo","Cuando I es un ideal maximal","Cuando I es un ideal principal"
"¿Cuándo es Im(f) un subanillo de B?","Siempre","Cuando f es sobreyectiva","Cuando f es inyectiva","Nunca"
"Si I es un ideal de A, ¿cuándo es f[I] un ideal de B?","Cuando f es sobreyectiva","Siempre","Cuando f es inyectiva","Nunca"
"¿Cuándo es un ideal comaximal con un producto y una intersección?","Cuando es comaximal con todos","Cuando es comaximal con el producto","Cuando es comaximal con la intersección","Nunca"
"¿Cuándo es un ideal primo maximal?","Cuando el anillo es artiniano","Cuando el anillo es noetheriano","Cuando el anillo es un dominio","Nunca"
"Elige la correcta","El producto de ideales siempre está en la intersección","La intersección de ideales siempre está en el producto","El conjunto I·J es un ideal formado por el producto de elementos de I y de J","En el Teorema Chino de los Restos, si los g_i son sobreyectivos, entonces A/(K1x···xKn) ≅ B1x···xBn"
"¿Qué tipo de ideales de A contiene Spec(A)?","Los primos","Los maximales","Los radicales","Los principales"
"Si A/I es un cuerpo, entonces...","I es maximal","I es primo","I no puede ser nulo","Ninguna de las otras"
"¿Cuando se puede garantizar Ω no vacío tiene un elemento maximal?","Cuando toda cadena de Ω tiene cota superior","Cuando toda cadena de Ω tiene cota inferior","Siempre","Cuando Ω es numerable"
"Dado un ideal I de A, ¿cuándo existe J maximal que lo contenga?","Siempre que I sea propio","Siempre","Cuando A es noetheriano","Cuando A es artiniano"
"Dada una cadena de ideales, ¿cuál de estos otros es una cota superior de la misma?","La unión","La suma","El producto","Ninguna de las otras"
"Si I1···In ⊆ J ⇒ algún Ik ⊆ J, ¿qué propiedad tiene J?","Primo","Maximal","Radical","Principal"
"¿Cuándo se da que (a)(b)=(ab)","Siempre","Si a y b son irreducibles","Si a y b son coprimos","Solo en DIPs"
"¿Cuándo se da que (a_1)+...+(a_n)=(a_1, ..., a_n)?","Siempre","Si son irreducibles","Si son coprimos","Solo en DIPs"
"En un DIP con p irreducible, ¿cuántos irreducibles tiene A/(p^2)?","solo 1: el propio p","ninguno","infinitos: todos los coprimos con p","infinitos: todos los que no son coprimos con p"
"En B/I, tomando G ⊆ B, ¿a qué es igual (π[G])","((G)+I)/I","(G+I)/I","(G+I)/B","(G+I)/A"
"¿Cuándo se cumple I1···In = I∩···∩I_n?","Cuando todos son comaximales dos a dos","Cuando todos son primos","Cuando al menos uno es primo","Siempre"
"En qué condiciones se puede escribir 1=a+b con a∈I y b∈J","Cuando son comaximales","Cuando I∩J={0}","Cuando I∪J=A","Siempre"
"Si J primo está ⊆ I1∩···∩In, ¿cuándo se da que J=Ik para algún k?","Siempre","Cuando son comaximales","Cuando al menos uno es primo","Nunca"
"¿Cuál es el truco de la demo de I⊆J1∪···∪Jn ⇒ I⊆Jk para algún k? (Ji primos)","Inducción + reducción al absurdo en n + contrarrecíproco","Ver que I∩Ji=0 para todo i","Buscar un maximal en la intersección","Ver que al menos dos son comaximales y reducción al absurdo"
"Si tengo P un ideal primo...","...entonces es radical","...entonces es maximal","...entonces es principal","...no se puede decir nada al respecto"
"¿Qué es Nil(A)?","Todas las demás","La intersección de todos los ideales primos","La intersection de todos los ideales radicales","La unión de todos los nilpotentes de A"
"En la demostración de {Nilpotentes de A} ⊆ Nil(A)...","...se busca ver que Ω={J ideal | x^n ∉ J} es vacío","...es consecuencia directa de un resultado anterior","...se utiliza el teorema de la correspondencia","...se utiliza el teorema del factor"
"¿Cuándo se da que I es primo ⇔ A/I es dominio?","Siempre","Si A es dominio","Si A es noetheriano","Si A es artiniano"
"¿Cuándo ¡NO! se puede afirmar que un anillo A sea noetheriano?","Si A es subanillo de B y B es noetheriano","Cuando todos sus ideales son FG","Cuando A es artiniano","Cuando A es un DIP"
"Selecciona la correcta","Anillo artiniano ⇒ Anillo noetheriano","K^n (K cuerpo) es noetheriano","Todo DIP es artiniano","Todo dominio noetheriano es un DFU"
"¿Cuándo NO se puede afirmar que I≤A siempre contiene un producto finito de ideales primos?","Nunca, (0) en Z es un contraejemplo","Cuando A es artiniano","Cuando A es noetheriano","Cuando cada ideal primo de A es FG"
"¿Cómo se prueba el teorema de la base de Hilbert?","Construyendo polinomios en una cadena ascendente","Demostrando la existencia de un isomorfismo entre A[X] y A[X,Y,Z,...]","Es corolario de un resultado anterior","Reducción al absurdo desde el principio"
"Si tenemos un dominio que no es un cuerpo...","...entonces es noetheriano","...entonces es artiniano","su dimensión de Krull es 0, por lo que es artiniano y noetheriano","...nada puede afirmarse"
"¿En qué se diferencian f:I → J y g:N → L si el primero es de anillos y el segundo de A-módulos?","El de módulos es más fuerte porque g(a)=a·g(1)","Son la misma cosa","Los homomorfismos de A-módulos siempre son epimorfismos","No existe teorema de la correspondencia para módulos"
"¿En qué se diferencian la suma directa externa e interna?","La interna exige que los sumandos sean submódulos","La externa es única","La existencia de externa garantiza la existencia de interna","Siempre existe una suma interna, aunque puede no ser única"
"Si M es FG, ¿cuáles NO son FG?","Los submódulos de M","Los cocientes de M","Las imagénes f(M) para un epimorfismo f","Las sumas con otros módulos FG"
"¿Cuándo es N un sumando directo de M?","Cuando la inclusión tiene inverso por la izquierda","Cuando N es cíclico","Cuando N es FG","Cuando N es submódulo de M"
"¿Cómo se prueba que todas las bases de un módulo libre tienen el mismo cardinal?","Considerando A/J y M/JM","Tomando dos bases y viendo que los elementos de una se escriben como comb. lineales de la otra","Usando reducción al absurdo","Tomando un maximal en el conjunto de bases del módulo"
"Si se tiene y X⊆M, Y⊆N, ¿qué debe cumplir M para que exista un único f:M → N con f(X)=Y?","Que M sea un módulo libre y X una base","Que f sea inyectiva","Que N sea un módulo libre e Y una base","Que M sea FG"
"¿Cuál de estos módulos es artiniano pero no noetheriano?","Z-mod Z_{p^∞}","Z-mod Z[X]","Q-mod Q","Z-mod Z"
"¿Qué dice el teorema de Akizuki para módulos?","No existe tal cosa","Si A es noetheriano, entonces todo A-módulo es artiniano si y solo si es noetheriano","Todo espacio vectorial de dimensión finita es artiniano y noetheriano","Un A-módulo es noetheriano si y solo si todo submódulo suyo es FG"
